PORTUGUESE SYLLABIFIED WORD LIST - COMPLETE (CAO FIXED)
Generated by Portuguese Syllabification Algorithm
Fixed: 'qu' words and 'cao' words now properly syllabified
============================================================
Format: ORIGINAL_WORD    syllabified-word
ABNEGAR              ab-ne-gar
ABOBADA              a-bo-ba-da
ABOBADADO            a-bo-ba-da-do
ABOBADAR             a-bo-ba-dar
ABOBADO              a-bo-ba-do
ABOBAR               a-bo-bar
ABOBORA              a-bo-bo-ra
ABOBORAL             a-bo-bo-ral
ABOBOREIRA           a-bo-bo-rei-ra
ABOBRINHA            a-bo-bri-nha
ABOCANHAR            a-bo-ca-nhar
ABOLICAO             a-bo-li-CAO
ABOLICIONISMO        a-bo-li-ci-o-nis-mo
ABOLICIONISTA        a-bo-li-ci-o-nis-ta
ABOLIR               a-bo-lir
ABOMINACAO           a-bo-mi-na-CAO
ABOMINAR             a-bo-mi-nar
ABOMINAVEL           a-bo-mi-na-vel
ABONACAO             a-bo-na-CAO
ABONADO              a-bo-na-do
ABONAR               a-bo-nar
ABONO                a-bo-no
ABORDAGEM            a-bor-da-gem
ABORDAR              a-bor-dar
ABORDAVEL            a-bor-da-vel
ABORIGINE            a-bo-ri-gi-ne
ABORRECER            a-bor-re-cer
ABORRECIMENTO        a-bor-re-ci-men-to
ABORTAR              a-bor-tar
ABORTO               a-bor-to
ABOTOAR              a-bo-to-ar
ABRACADABRA          a-bra-ca-da-bra
ABRACAR              a-bra-car
ABRACO               a-bra-co
ABRANDAMENTO         a-bran-da-men-to
ABRANDAR             a-bran-dar
ABRANGENCIA          a-bran-gen-ci-a
ABRANGENTE           a-bran-gen-te
ABRANGER             a-bran-ger
ABRASADOR            a-bra-sa-dor
ABRASILEIRADO        a-bra-si-lei-ra-do
ABRASILEIRAR         a-bra-si-lei-rar
ABRASIVO             a-bra-si-vo
ABREUGRAFIA          a-breu-gra-fi-a
ABREUGRAFICO         a-breu-gra-fi-co
ABREVIACAO           a-bre-vi-a-CAO
ABREVIADO            a-bre-vi-a-do
ABREVIAMENTO         a-bre-vi-a-men-to
ABREVIAR             a-bre-vi-ar
ABREVIATURA          a-bre-vi-a-tu-ra
ABRICO               a-bri-co
ABRICOTEIRO          a-bri-co-tei-ro
ABRIDOR              a-bri-dor
ABRIGAR              a-bri-gar
ABRIGO               a-bri-go
ABRIL                a-bril
ABRILHANTAR          a-bri-lhan-tar
ABRIR                a-brir
ABRUPTO              a-brup-to
ABRUTALHADO          a-bru-ta-lha-do
ABRUTALHAR           a-bru-ta-lhar
ABSCESSO             ab-sces-so
ABSCISSA             ab-scis-sa
ABSENTEISMO          ab-sen-teis-mo
ABSENTEISTA          ab-sen-teis-ta
ABSENTIA             ab-sen-ti-a
ABSINTO              ab-sin-to
ABSOLUTA             ab-so-lu-ta
ABSOLUTAMENTE        ab-so-lu-ta-men-te
ABSOLUTISMO          ab-so-lu-tis-mo
ABSOLUTISTA          ab-so-lu-tis-ta
ABSOLUTO             ab-so-lu-to
ABSOLVER             ab-sol-ver
ABSOLVICAO           ab-sol-vi-CAO
ABSORCAO             ab-sor-CAO
ABSORTO              ab-sor-to
ABSORVE              ab-sor-ve
ABSORVENTE           ab-sor-ven-te
ABSORVER             ab-sor-ver
ABSTEMIO             ab-ste-mi-o
ABSTENCAO            ab-sten-CAO
ABSTER               ab-ster
ABSTINENCIA          ab-sti-nen-ci-a
ABSTRACAO            ab-st-ra-CAO
ABSTRACIONISMO       ab-st-ra-ci-o-nis-mo
ABSTRACIONISTA       ab-st-ra-ci-o-nis-ta
ABSTRATA             ab-st-ra-ta
ABSTRATO             ab-st-ra-to
ABSURDO              ab-sur-do
ABUNDANCIA           a-bun-dan-ci-a
ABUNDANTE            a-bun-dan-te
ABURGUESADO          a-bur-gue-sa-do
ABURGUESAMENTO       a-bur-gue-sa-men-to
ABURGUESAR           a-bur-gue-sar
ABUSADO              a-bu-sa-do
ABUSAR               a-bu-sar
ABUSIVO              a-bu-si-vo
ABUSO                a-bu-so
ABUTRE               a-bu-tre
AC                   ac
ACABADO              a-ca-ba-do
ACABAMENTO           a-ca-ba-men-to
ACABAR               a-ca-bar
ACABAVEL             a-ca-ba-vel
ACABRUNHADO          a-ca-bru-nha-do
ACABRUNHAMENTO       a-ca-bru-nha-men-to
ACABRUNHAR           a-ca-bru-nhar
ACACIA               a-ca-ci-a
ACADEMIA             a-ca-de-mi-a
ACADEMICISMO         a-ca-de-mi-cis-mo
ACADEMICO            a-ca-de-mi-co
ACADIANO             a-ca-di-a-no
ACAFAJESTADO         a-ca-fa-jes-ta-do
ACAFAJESTAMENTO      a-ca-fa-jes-ta-men-to
ACAFRAO              a-ca-fra-o
ACAI                 a-cai
ACAJU                a-ca-ju
ACALCAR              a-cal-car
ACALENTAR            a-ca-len-tar
ACALMADO             a-cal-ma-do
ACALMAR              a-cal-mar
ACALORADO            a-ca-lo-ra-do
ACALORAR             a-ca-lo-rar
ACAMADO              a-ca-ma-do
ACAMAR               a-ca-mar
ACAMBARCAR           a-cam-bar-car
ACAMPADO             a-cam-pa-do
ACAMPAMENTO          a-cam-pa-men-to
ACAMPAR              a-cam-par
ACANALHADO           a-ca-na-lha-do
ACANALHAR            a-ca-na-lhar
ACANHADO             a-ca-nha-do
ACANHAMENTO          a-ca-nha-men-to
ACANHAR              a-ca-nhar
ACAO                 A-CAO
ACARAJE              a-ca-ra-je
ACAREACAO            a-ca-re-a-CAO
ACAREAR              a-ca-re-ar
ACARICIAR            a-ca-ri-ci-ar
ACARO                a-ca-ro
ACARPETADO           a-car-pe-ta-do
ACARPETAR            a-car-pe-tar
ACARRETAR            a-car-re-tar
ACASALAMENTO         a-ca-sa-la-men-to
ACASALAR             a-ca-sa-lar
ACASO                a-ca-so
ACATAMENTO           a-ca-ta-men-to
ACATAR               a-ca-tar
ACATO                a-ca-to
ACAUTELADO           a-cau-te-la-do
ACAUTELAMENTO        a-cau-te-la-men-to
ACAUTELAR            a-cau-te-lar
ACCESSORIOS          ac-ces-so-ri-os
ACE                  a-ce
ACEBOLADO            a-ce-bo-la-do
ACEBOLAR             a-ce-bo-lar
ACEDER               a-ce-der
ACEFALO              a-ce-fa-lo
ACEITACAO            a-cei-ta-CAO
ACEITAR              a-cei-tar
ACEITAVEL            a-cei-ta-vel
ACEITO               a-cei-to
ACELARACAO           a-ce-la-ra-CAO
ACELERACAO           a-ce-le-ra-CAO
ACELERADO            a-ce-le-ra-do
ACELERADOR           a-ce-le-ra-dor
ACELERAR             a-ce-le-rar
ACELGA               a-cel-ga
ACEM                 a-cem
ACENAR               a-ce-nar
ACENDEDOR            a-cen-de-dor
ACENDER              a-cen-der
ACENO                a-ce-no
ACENTO               a-cen-to
ACENTUACAO           a-cen-tu-a-CAO
ACENTUADO            a-cen-tu-a-do
ACENTUAR             a-cen-tu-ar
ACEPCAO              a-cep-CAO
ACEPIPE              a-ce-pi-pe
ACERBAR              a-cer-bar
ACERCA               a-cer-ca
ACERCAR              a-cer-car
ACEROLA              a-ce-ro-la
ACERTADO             a-cer-ta-do
ACERTAR              a-cer-tar
ACERTO               a-cer-to
ACESO                a-ce-so
ACESSADO             a-ces-sa-do
ACESSAR              a-ces-sar
ACESSIBILIDADE       a-ces-si-bi-li-da-de
ACESSIVEL            a-ces-si-vel
ACESSO               a-ces-so
ACESSORIO            a-ces-so-ri-o
ACESSORIOS           a-ces-so-ri-os
ACETALDEIDO          a-ce-tal-dei-do
ACETATO              a-ce-ta-to
ACETICO              a-ce-ti-co
ACETILCOLINA         a-ce-til-co-li-na
ACETILENO            a-ce-ti-le-no
ACETILSALICILICO     a-ce-til-sa-li-ci-li-co
ACETINADO            a-ce-ti-na-do
ACETINAR             a-ce-ti-nar
ACETONA              a-ce-to-na
ACHA                 a-cha
ACHADICO             a-cha-di-co
ACHADO               a-cha-do
ACHAR                a-char
ACHATADO             a-cha-ta-do
ACHATAMENTO          a-cha-ta-men-to
ACHATAR              a-cha-tar
ACHAVA               a-cha-va
ACHINCALHAMENTO      a-chin-ca-lha-men-to
ACHINCALHANTE        a-chin-ca-lhan-te
ACHINCALHAR          a-chin-ca-lhar
ACHINCALHE           a-chin-ca-lhe
ACHOCOLATADO         a-cho-co-la-ta-do
ACIDA                a-ci-da
ACIDENTADO           a-ci-den-ta-do
ACIDENTAL            a-ci-den-tal
ACIDENTAR            a-ci-den-tar
ACIDENTE             a-ci-den-te
ACIDENTES            a-ci-den-tes
ACIDEZ               a-ci-dez
ACIDO                a-ci-do
ACIMA                a-ci-ma
ACINTE               a-cin-te
ACINTOSO             a-cin-to-so
ACINZENTADO          a-cin-zen-ta-do
ACINZENTAR           a-cin-zen-tar
ACIONADO             a-ci-o-na-do
ACIONADOR            a-ci-o-na-dor
ACIONAMENTO          a-ci-o-na-men-to
ACIONAR              a-ci-o-nar
ACIONARIO            a-ci-o-na-ri-o
ACIONISTA            a-ci-o-nis-ta
ACIRRADO             a-cir-ra-do
ACIRRAMENTO          a-cir-ra-men-to
ACIRRAR              a-cir-rar
ACLAMACAO            a-cla-ma-CAO
ACLAMAR              a-cla-mar
ACLARADO             a-cla-ra-do
ACLARAMENTO          a-cla-ra-men-to
ACLARAR              a-cla-rar
ACLIMATACAO          a-cli-ma-ta-CAO
ACLIMATADO           a-cli-ma-ta-do
ACLIMATAR            a-cli-ma-tar
ACLIVE               a-cli-ve
ACNE                 ac-ne
ACO                  a-co
ACOBERTADO           a-co-ber-ta-do
ACOBERTAR            a-co-ber-tar
ACOCORADO            a-co-co-ra-do
ACOCORAR             a-co-co-rar
ACOITAR              a-coi-tar
ACOITE               a-coi-te
ACOLA                a-co-la
ACOLCHOADO           a-col-cho-a-do
ACOLCHOAR            a-col-cho-ar
ACOLHEDOR            a-co-lhe-dor
ACOLHER              a-co-lher
ACOLHIDA             a-co-lhi-da
ACOLHIDO             a-co-lhi-do
ACOLHIMENTO          a-co-lhi-men-to
ACOMETER             a-co-me-ter
ACOMODACAO           a-co-mo-da-CAO
ACOMODADO            a-co-mo-da-do
ACOMODAR             a-co-mo-dar
ACOMPANHA            a-com-pa-nha
ACOMPANHAMENTO       a-com-pa-nha-men-to
ACOMPANHAMENTOS      a-com-pa-nha-men-tos
ACOMPANHANTE         a-com-pa-nhan-te
ACOMPANHAR           a-com-pa-nhar
ACONCHEGANTE         a-con-che-gan-te
ACONCHEGAR           a-con-che-gar
ACONCHEGO            a-con-che-go
ACONDICIONADO        a-con-di-ci-o-na-do
ACONDICIONAR         a-con-di-ci-o-nar
ACONSELHA            a-con-se-lha
ACONSELHADO          a-con-se-lha-do
ACONSELHAMENTO       a-con-se-lha-men-to
ACONSELHAR           a-con-se-lhar
ACONSELHAVEL         a-con-se-lha-vel
ACONTECER            a-con-te-cer
ACONTECIDO           a-con-te-ci-do
ACONTECIMENTO        a-con-te-ci-men-to
ACONTECIMENTOS       a-con-te-ci-men-tos
ACOPLADO             a-co-pla-do
ACOPLAGEM            a-co-pla-gem
ACOPLAMENTO          a-co-pla-men-to
ACOPLAR              a-co-plar
ACORDADO             a-cor-da-do
ACORDAR              a-cor-dar
ACORDE               a-cor-de
ACORDEAO             a-cor-de-a-o
ACORDEOM             a-cor-de-om
ACORDEONISTA         a-cor-de-o-nis-ta
ACORDO               a-cor-do
ACORIANO             a-co-ri-a-no
ACORRENTADO          a-cor-ren-ta-do
ACORRENTAR           a-cor-ren-tar
ACORRER              a-cor-rer
ACOSSADO             a-cos-sa-do
ACOSSAR              a-cos-sar
ACOSTAMENTO          a-cos-ta-men-to
ACOSTAR              a-cos-tar
ACOSTUMADO           a-cos-tu-ma-do
ACOSTUMAR            a-cos-tu-mar
ACOTOVELAMENTO       a-co-to-ve-la-men-to
ACOTOVELAR           a-co-to-ve-lar
ACOUGUE              a-coug-ue
ACOVARDADO           a-co-var-da-do
ACOVARDAR            a-co-var-dar
ACRE                 a-cre
ACREDITADO           a-cre-di-ta-do
ACREDITAR            a-cre-di-tar
ACREDITAVEL          a-cre-di-ta-vel
ACRESCENTAR          a-cres-cen-tar
ACRESCER             a-cres-cer
ACRESCIMO            a-cres-ci-mo
ACRIANO              a-cri-a-no
ACRIDEZ              a-cri-dez
ACRILICO             a-cri-li-co
ACRIMONIA            a-cri-mo-ni-a
ACRIMONIOSO          a-cri-mo-ni-o-so
ACROBACIA            a-cro-ba-ci-a
ACROBATA             a-cro-ba-ta
ACROBATICO           a-cro-ba-ti-co
ACROFOBIA            a-cro-fo-bi-a
ACROMATICO           a-cro-ma-ti-co
ACRONIMO             a-cro-ni-mo
ACROPOLE             a-cro-po-le
ACROSTICO            a-cros-ti-co
ACTINIDEO            ac-ti-ni-de-o
ACTINIO              ac-ti-ni-o
ACTINOMICETE         ac-ti-no-mi-ce-te
ACUADO               a-cu-a-do
ACUAR                a-cu-ar
ACUCAR               a-cu-car
ACUCARADO            a-cu-ca-ra-do
ACUCARAR             a-cu-ca-rar
ACUCAREIRO           a-cu-ca-rei-ro
ACUCENA              a-cu-ce-na
ACUDE                a-cu-de
ACUDIR               a-cu-dir
ACUIDADE             a-cui-da-de
ACULTURACAO          a-cul-tu-ra-CAO
ACULTURADO           a-cul-tu-ra-do
ACULTURAR            a-cul-tu-rar
ACUMULACAO           a-cu-mu-la-CAO
ACUMULADO            a-cu-mu-la-do
ACUMULADOR           a-cu-mu-la-dor
ACUMULAR             a-cu-mu-lar
ACUMULO              a-cu-mu-lo
ACUPUNTURA           a-cu-pun-tu-ra
ACUSACAO             a-cu-sa-CAO
ACUSADO              a-cu-sa-do
ACUSAR               a-cu-sar
ACUSATIVO            a-cu-sa-ti-vo
ACUSTICA             a-cus-ti-ca
ACUSTICO             a-cus-ti-co
AD                   ad
ADA                  a-da
ADAGA                a-da-ga
ADAGIO               a-da-gi-o
ADAPTABILIDADE       a-dap-ta-bi-li-da-de
ADAPTACAO            a-dap-ta-CAO
ADAPTADO             a-dap-ta-do
ADAPTADOR            a-dap-ta-dor
ADAPTAR              a-dap-tar
ADAPTAVEL            a-dap-ta-vel
ADEGA                a-de-ga
ADELGACADO           a-del-ga-ca-do
ADELGACAR            a-del-ga-car
ADEMAIS              a-de-mais
ADENDO               a-den-do
ADENINA              a-de-ni-na
ADENSAMENTO          a-den-sa-men-to
ADENSAR              a-den-sar
ADENTRAR             a-den-trar
ADENTRO              a-den-tro
ADEPTO               a-dep-to
ADEQUABILIDADE       a-deq-ua-bi-li-da-de
ADEQUACAO            a-deq-ua-CAO
ADEQUADAMENTE        a-deq-ua-da-men-te
ADEQUADO             a-deq-ua-do
ADEQUAR              a-deq-uar
ADEQUAVEL            a-deq-ua-vel
ADERECO              a-de-re-co
ADERENCIA            a-de-ren-ci-a
ADERENTE             a-de-ren-te
ADERIR               a-de-rir
ADERNETA             a-der-ne-ta
ADESAO               a-de-sa-o
ADESIVO              a-de-si-vo
ADESTRADO            a-dest-ra-do
ADESTRADOR           a-dest-ra-dor
ADESTRAMENTO         a-dest-ra-men-to
ADESTRAR             a-dest-rar
ADEUS                a-deus
ADIABILIDADE         a-di-a-bi-li-da-de
ADIAMENTO            a-di-a-men-to
ADIANTADO            a-di-an-ta-do
ADIANTAMENTO         a-di-an-ta-men-to
ADIANTANDO           a-di-an-tan-do
ADIANTAR             a-di-an-tar
ADIANTE              a-di-an-te
ADIAR                a-di-ar
ADIAVEL              a-di-a-vel
ADICAO               a-di-CAO
ADICIONADO           a-di-ci-o-na-do
ADICIONAL            a-di-ci-o-nal
ADICIONAR            a-di-ci-o-nar
ADIDO                a-di-do
ADIMENSIONAL         a-di-men-si-o-nal
ADIPOSIDADE          a-di-po-si-da-de
ADIPOSO              a-di-po-so
ADITIVO              a-di-ti-vo
ADIVINHA             a-di-vi-nha
ADIVINHACAO          a-di-vi-nha-CAO
ADIVINHAR            a-di-vi-nhar
ADIVINHO             a-di-vi-nho
ADJACENCIA           ad-ja-cen-ci-a
ADJACENTE            ad-ja-cen-te
ADJETIVACAO          ad-je-ti-va-CAO
ADJETIVADO           ad-je-ti-va-do
ADJETIVAL            ad-je-ti-val
ADJETIVAR            ad-je-ti-var
ADJETIVO             ad-je-ti-vo
ADJETIVOS            ad-je-ti-vos
ADJUDICACAO          ad-ju-di-ca-CAO
ADJUDICAR            ad-ju-di-car
ADJUNTO              ad-jun-to
ADMINISTRACAO        ad-mi-nist-ra-CAO
ADMINISTRADOR        ad-mi-nist-ra-dor
ADMINISTRAR          ad-mi-nist-rar
ADMINISTRATIVO       ad-mi-nist-ra-ti-vo
ADMIRACAO            ad-mi-ra-CAO
ADMIRADOR            ad-mi-ra-dor
ADMIRAR              ad-mi-rar
ADMIRAVEL            ad-mi-ra-vel
ADMISSAO             ad-mis-sa-o
ADMISSIBILIDADE      ad-mis-si-bi-li-da-de
ADMISSIVEL           ad-mis-si-vel
ADMITIDO             ad-mi-ti-do
ADMITIR              ad-mi-tir
ADMOESTACAO          ad-mo-es-ta-CAO
ADMOESTAR            ad-mo-es-tar
ADN                  adn
ADNOMINAL            ad-no-mi-nal
ADOBE                a-do-be
ADOCADO              a-do-ca-do
ADOCANTE             a-do-can-te
ADOCAO               a-do-CAO
ADOCAR               a-do-car
ADOCICADO            a-do-ci-ca-do
ADOCICAR             a-do-ci-car
ADOECER              a-do-e-cer
ADOECIMENTO          a-do-e-ci-men-to
ADOENTADO            a-do-en-ta-do
ADOENTAR             a-do-en-tar
ADOIDADO             a-doi-da-do
ADOIDAR              a-doi-dar
ADOLESCENCIA         a-do-les-cen-ci-a
ADOLESCENTE          a-do-les-cen-te
ADONDE               a-don-de
ADONIS               a-do-nis
ADORACAO             a-do-ra-CAO
ADORADO              a-do-ra-do
ADORADOR             a-do-ra-dor
ADORAR               a-do-rar
ADORAVEL             a-do-ra-vel
ADORMECER            a-dor-me-cer
ADORMECIDO           a-dor-me-ci-do
ADORMECIMENTO        a-dor-me-ci-men-to
ADORNAR              a-dor-nar
ADORNO               a-dor-no
ADOTAR               a-do-tar
ADOTIVO              a-do-ti-vo
ADQUIRIDA            ad-qui-ri-da
ADQUIRIDO            ad-qui-ri-do
ADQUIRIR             ad-qui-rir
ADRENALINA           a-dre-na-li-na
ADRIATICO            a-dri-a-ti-co
ADSORCAO             ad-sor-CAO
ADUANEIRO            a-du-a-nei-ro
ADUBACAO             a-du-ba-CAO
ADUBAR               a-du-bar
ADUBO                a-du-bo
ADULACAO             a-du-la-CAO
ADULADOR             a-du-la-dor
ADULAR               a-du-lar
ADULTERA             a-dul-te-ra
ADULTERACAO          a-dul-te-ra-CAO
ADULTERADO           a-dul-te-ra-do
ADULTERAR            a-dul-te-rar
ADULTERIO            a-dul-te-ri-o
ADULTERO             a-dul-te-ro
ADULTO               a-dul-to
ADUNCO               a-dun-co
ADUTORA              a-du-to-ra
ADVENTISMO           ad-ven-tis-mo
ADVENTISTA           ad-ven-tis-ta
ADVENTO              ad-ven-to
ADVERBIAL            ad-ver-bi-al
ADVERBIO             ad-ver-bi-o
ADVERSARIO           ad-ver-sa-ri-o
ADVERSATIVA          ad-ver-sa-ti-va
ADVERSATIVO          ad-ver-sa-ti-vo
ADVERSIDADE          ad-ver-si-da-de
ADVERSO              ad-ver-so
ADVERTENCIA          ad-ver-ten-ci-a
ADVERTIDO            ad-ver-ti-do
ADVERTIR             ad-ver-tir
ADVINDO              ad-vin-do
ADVIR                ad-vir
ADVOCACIA            ad-vo-ca-ci-a
ADVOGADO             ad-vo-ga-do
ADVOGAR              ad-vo-gar
AE                   ae
AEREA                a-e-re-a
AEREO                a-e-re-o
AEROBICA             a-e-ro-bi-ca
AEROBICO             a-e-ro-bi-co
AEROCLUBE            a-e-ro-clu-be
AERODINAMICA         a-e-ro-di-na-mi-ca
AERODINAMICO         a-e-ro-di-na-mi-co
AERODROMO            a-e-ro-dro-mo
AEROESPACIAL         a-e-ro-es-pa-ci-al
AEROMOCA             a-e-ro-mo-ca
AEROMOCO             a-e-ro-mo-co
AEROMODELISMO        a-e-ro-mo-de-lis-mo
AEROMODELISTA        a-e-ro-mo-de-lis-ta
AERONAUTICA          a-e-ro-nau-ti-ca
AERONAUTICO          a-e-ro-nau-ti-co
AEROPORTO            a-e-ro-por-to
AEROPORTUARIO        a-e-ro-por-tu-a-ri-o
AEROSSOL             a-e-ros-sol
AF                   af
AFA                  a-fa
AFABILIDADE          a-fa-bi-li-da-de
AFAGAR               a-fa-gar
AFAGO                a-fa-go
AFAMADO              a-fa-ma-do
AFAMAR               a-fa-mar
AFANAR               a-fa-nar
AFANO                a-fa-no
AFASIA               a-fa-si-a
AFASICO              a-fa-si-co
AFASTADO             a-fas-ta-do
AFASTAMENTO          a-fas-ta-men-to
AFASTAR              a-fas-tar
AFAVEL               a-fa-vel
AFAZERES             a-fa-ze-res
AFECCAO              a-fec-CAO
AFEGANE              a-fe-ga-ne
AFEGAO               a-fe-ga-o
AFEICAO              a-fei-CAO
AFEICOADO            a-fei-co-a-do
AFEICOAR             a-fei-co-ar
AFELIO               a-fe-li-o
AFEMINADO            a-fe-mi-na-do
AFEMINAR             a-fe-mi-nar
AFERENTE             a-fe-ren-te
AFERICAO             a-fe-ri-CAO
AFERIDO              a-fe-ri-do
AFERIR               a-fe-rir
AFERRADO             a-fer-ra-do
AFERRAR              a-fer-rar
AFETACAO             a-fe-ta-CAO
AFETADO              a-fe-ta-do
AFETAR               a-fe-tar
AFETIVA              a-fe-ti-va
AFETIVIDADE          a-fe-ti-vi-da-de
AFETIVO              a-fe-ti-vo
AFETO                a-fe-to
AFETUOSO             a-fe-tu-o-so
AFIADA               a-fi-a-da
AFIADO               a-fi-a-do
AFIANCAR             a-fi-an-car
AFIANCAVEL           a-fi-an-ca-vel
AFIAR                a-fi-ar
AFILADO              a-fi-la-do
AFILHADO             a-fi-lha-do
AFILIADA             a-fi-li-a-da
AFILIADO             a-fi-li-a-do
AFILIAR              a-fi-li-ar
AFINACAO             a-fi-na-CAO
AFINADO              a-fi-na-do
AFINADOR             a-fi-na-dor
AFINAL               a-fi-nal
AFINAR               a-fi-nar
AFINCO               a-fin-co
AFINIDADE            a-fi-ni-da-de
AFIRMACAO            a-fir-ma-CAO
AFIRMAR              a-fir-mar
AFIRMATIVA           a-fir-ma-ti-va
AFIRMATIVO           a-fir-ma-ti-vo
AFIVELADO            a-fi-ve-la-do
AFIVELAR             a-fi-ve-lar
AFIXACAO             a-fi-xa-CAO
AFIXAR               a-fi-xar
AFIXO                a-fi-xo
AFLICAO              a-fli-CAO
AFLIGIR              a-fli-gir
AFLITO               a-fli-to
AFLORAR              a-flo-rar
AFLUENCIA            a-flu-en-ci-a
AFLUENTE             a-flu-en-te
AFLUIR               a-fluir
AFOBACAO             a-fo-ba-CAO
AFOBADO              a-fo-ba-do
AFOBAMENTO           a-fo-ba-men-to
AFOBAR               a-fo-bar
AFOFAR               a-fo-far
AFOGADO              a-fo-ga-do
AFOGADOR             a-fo-ga-dor
AFOGAMENTO           a-fo-ga-men-to
AFOGAR               a-fo-gar
AFOITO               a-foi-to
AFONICO              a-fo-ni-co
AFORA                a-fo-ra
AFORISMO             a-fo-ris-mo
AFORTUNADO           a-for-tu-na-do
AFORTUNAR            a-for-tu-nar
AFRANCESADO          a-fran-ce-sa-do
AFRANCESAR           a-fran-ce-sar
AFRESCO              a-fres-co
AFRICANER            a-fri-ca-ner
AFRICANO             a-fri-ca-no
AFRIKAANS            a-fri-ka-an-s
AFRO                 a-fro
AFRODISIACO          a-fro-di-si-a-co
AFRODISIACOS         a-fro-di-si-a-cos
AFRONTA              a-fron-ta
AFRONTAR             a-fron-tar
AFROUXAR             a-frou-xar
AFTA                 af-ta
AFTOSA               af-to-sa
AFUGENTAR            a-fu-gen-tar
AFUNDADO             a-fun-da-do
AFUNDAR              a-fun-dar
AFUNILADO            a-fu-ni-la-do
AFUNILAMENTO         a-fu-ni-la-men-to
AFUNILAR             a-fu-ni-lar
AG                   ag
AGA                  a-ga
AGACHADO             a-ga-cha-do
AGACHAMENTO          a-ga-cha-men-to
AGARRADO             a-gar-ra-do
AGARRAMENTO          a-gar-ra-men-to
AGARRAR              a-gar-rar
AGASALHADO           a-ga-sa-lha-do
AGASALHAR            a-ga-sa-lhar
AGASALHO             a-ga-sa-lho
AGASTADO             a-gas-ta-do
AGASTAR              a-gas-tar
AGATA                a-ga-ta
AGAUCHADO            a-gau-cha-do
AGENCIA              a-gen-ci-a
AGENCIAR             a-gen-ci-ar
AGENDA               a-gen-da
AGENDAR              a-gen-dar
AGENTE               a-gen-te
AGENTES              a-gen-tes
AGIGANTADO           a-gi-gan-ta-do
AGIGANTAR            a-gi-gan-tar
AGIL                 a-gil
